sample,variable,value,adjusted_value,label,region,tumor_type
0040b1b6-b07a-4b6e-90ef-133523eaf412,total_sv,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DEL,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DUP,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,TRA,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,h2hINV,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,t2tINV,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,INV,0,0,rloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,total_sv,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DEL,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DUP,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,TRA,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,h2hINV,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,t2tINV,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,INV,0,0,norloop_tss,TSS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,total_sv,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DEL,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DUP,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,TRA,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,h2hINV,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,t2tINV,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,INV,0,0,rloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,total_sv,1,0.0933996782381085,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DEL,1,0.0933996782381085,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,DUP,0,0,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,TRA,0,0,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,h2hINV,0,0,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,t2tINV,0,0,norloop_tts,TTS,Liver
0040b1b6-b07a-4b6e-90ef-133523eaf412,INV,0,0,norloop_tts,TTS,Liver
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,total_sv,3,0.421648917121251,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DEL,0,0,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,DUP,1,0.140549639040417,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,TRA,2,0.281099278080834,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,h2hINV,0,0,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,t2tINV,0,0,rloop_tss,TSS,Pancreas
00508f2b-36bf-44fc-b66b-97e1f3e40bfa,INV,0,0,rloop_tss,TSS,Pancreas
